,window_size,hidden_dim,batch_size,learning_rate,dropout_rate,attention,score
0,10,2,4,1e-05,0.2,1,
1,10,2,4,1e-05,0.3,1,
2,10,2,4,1e-05,0.4,1,
3,10,2,4,1e-05,0.5,1,
4,10,2,4,1e-05,0.2,0,
5,10,2,4,1e-05,0.3,0,
6,10,2,4,1e-05,0.4,0,
7,10,2,4,1e-05,0.5,0,-151.23917773161708
8,10,2,4,0.0001,0.2,1,
9,10,2,4,0.0001,0.3,1,
10,10,2,4,0.0001,0.4,1,
11,10,2,4,0.0001,0.5,1,
12,10,2,4,0.0001,0.2,0,
13,10,2,4,0.0001,0.3,0,
14,10,2,4,0.0001,0.4,0,
15,10,2,4,0.0001,0.5,0,-110.00679797646582
16,10,2,4,0.001,0.2,1,
17,10,2,4,0.001,0.3,1,
18,10,2,4,0.001,0.4,1,
19,10,2,4,0.001,0.5,1,
20,10,2,4,0.001,0.2,0,
21,10,2,4,0.001,0.3,0,
22,10,2,4,0.001,0.4,0,
23,10,2,4,0.001,0.5,0,
24,10,2,4,0.01,0.2,1,
25,10,2,4,0.01,0.3,1,
26,10,2,4,0.01,0.4,1,
27,10,2,4,0.01,0.5,1,
28,10,2,4,0.01,0.2,0,
29,10,2,4,0.01,0.3,0,
30,10,2,4,0.01,0.4,0,
31,10,2,4,0.01,0.5,0,
32,10,2,8,1e-05,0.2,1,
33,10,2,8,1e-05,0.3,1,
34,10,2,8,1e-05,0.4,1,
35,10,2,8,1e-05,0.5,1,
36,10,2,8,1e-05,0.2,0,
37,10,2,8,1e-05,0.3,0,
38,10,2,8,1e-05,0.4,0,
39,10,2,8,1e-05,0.5,0,-133.65663576229898
40,10,2,8,0.0001,0.2,1,
41,10,2,8,0.0001,0.3,1,
42,10,2,8,0.0001,0.4,1,
43,10,2,8,0.0001,0.5,1,
44,10,2,8,0.0001,0.2,0,
45,10,2,8,0.0001,0.3,0,
46,10,2,8,0.0001,0.4,0,
47,10,2,8,0.0001,0.5,0,-121.05095186943969
48,10,2,8,0.001,0.2,1,
49,10,2,8,0.001,0.3,1,
50,10,2,8,0.001,0.4,1,
51,10,2,8,0.001,0.5,1,
52,10,2,8,0.001,0.2,0,
53,10,2,8,0.001,0.3,0,
54,10,2,8,0.001,0.4,0,
55,10,2,8,0.001,0.5,0,
56,10,2,8,0.01,0.2,1,
57,10,2,8,0.01,0.3,1,
58,10,2,8,0.01,0.4,1,
59,10,2,8,0.01,0.5,1,
60,10,2,8,0.01,0.2,0,
61,10,2,8,0.01,0.3,0,
62,10,2,8,0.01,0.4,0,
63,10,2,8,0.01,0.5,0,
64,10,2,16,1e-05,0.2,1,
65,10,2,16,1e-05,0.3,1,
66,10,2,16,1e-05,0.4,1,
67,10,2,16,1e-05,0.5,1,
68,10,2,16,1e-05,0.2,0,
69,10,2,16,1e-05,0.3,0,
70,10,2,16,1e-05,0.4,0,
71,10,2,16,1e-05,0.5,0,
72,10,2,16,0.0001,0.2,1,
73,10,2,16,0.0001,0.3,1,
74,10,2,16,0.0001,0.4,1,
75,10,2,16,0.0001,0.5,1,
76,10,2,16,0.0001,0.2,0,
77,10,2,16,0.0001,0.3,0,
78,10,2,16,0.0001,0.4,0,
79,10,2,16,0.0001,0.5,0,
80,10,2,16,0.001,0.2,1,
81,10,2,16,0.001,0.3,1,
82,10,2,16,0.001,0.4,1,
83,10,2,16,0.001,0.5,1,
84,10,2,16,0.001,0.2,0,
85,10,2,16,0.001,0.3,0,
86,10,2,16,0.001,0.4,0,
87,10,2,16,0.001,0.5,0,
88,10,2,16,0.01,0.2,1,
89,10,2,16,0.01,0.3,1,
90,10,2,16,0.01,0.4,1,
91,10,2,16,0.01,0.5,1,
92,10,2,16,0.01,0.2,0,
93,10,2,16,0.01,0.3,0,
94,10,2,16,0.01,0.4,0,
95,10,2,16,0.01,0.5,0,
96,10,2,32,1e-05,0.2,1,
97,10,2,32,1e-05,0.3,1,
98,10,2,32,1e-05,0.4,1,
99,10,2,32,1e-05,0.5,1,
100,10,2,32,1e-05,0.2,0,
101,10,2,32,1e-05,0.3,0,
102,10,2,32,1e-05,0.4,0,
103,10,2,32,1e-05,0.5,0,-117.84010843251494
104,10,2,32,0.0001,0.2,1,
105,10,2,32,0.0001,0.3,1,
106,10,2,32,0.0001,0.4,1,
107,10,2,32,0.0001,0.5,1,
108,10,2,32,0.0001,0.2,0,
109,10,2,32,0.0001,0.3,0,
110,10,2,32,0.0001,0.4,0,
111,10,2,32,0.0001,0.5,0,-103.5594694661786
112,10,2,32,0.001,0.2,1,
113,10,2,32,0.001,0.3,1,
114,10,2,32,0.001,0.4,1,
115,10,2,32,0.001,0.5,1,
116,10,2,32,0.001,0.2,0,
117,10,2,32,0.001,0.3,0,
118,10,2,32,0.001,0.4,0,
119,10,2,32,0.001,0.5,0,-106.31044526310686
120,10,2,32,0.01,0.2,1,
121,10,2,32,0.01,0.3,1,
122,10,2,32,0.01,0.4,1,
123,10,2,32,0.01,0.5,1,-128.12260128180705
124,10,2,32,0.01,0.2,0,
125,10,2,32,0.01,0.3,0,
126,10,2,32,0.01,0.4,0,
127,10,2,32,0.01,0.5,0,
128,10,4,4,1e-05,0.2,1,
129,10,4,4,1e-05,0.3,1,
130,10,4,4,1e-05,0.4,1,
131,10,4,4,1e-05,0.5,1,
132,10,4,4,1e-05,0.2,0,
133,10,4,4,1e-05,0.3,0,
134,10,4,4,1e-05,0.4,0,
135,10,4,4,1e-05,0.5,0,-104.50039856740564
136,10,4,4,0.0001,0.2,1,
137,10,4,4,0.0001,0.3,1,
138,10,4,4,0.0001,0.4,1,
139,10,4,4,0.0001,0.5,1,
140,10,4,4,0.0001,0.2,0,
141,10,4,4,0.0001,0.3,0,
142,10,4,4,0.0001,0.4,0,-95.61454563932931
143,10,4,4,0.0001,0.5,0,-121.0191241471181
144,10,4,4,0.001,0.2,1,
145,10,4,4,0.001,0.3,1,
146,10,4,4,0.001,0.4,1,
147,10,4,4,0.001,0.5,1,
148,10,4,4,0.001,0.2,0,
149,10,4,4,0.001,0.3,0,
150,10,4,4,0.001,0.4,0,
151,10,4,4,0.001,0.5,0,
152,10,4,4,0.01,0.2,1,
153,10,4,4,0.01,0.3,1,
154,10,4,4,0.01,0.4,1,
155,10,4,4,0.01,0.5,1,
156,10,4,4,0.01,0.2,0,
157,10,4,4,0.01,0.3,0,
158,10,4,4,0.01,0.4,0,
159,10,4,4,0.01,0.5,0,
160,10,4,8,1e-05,0.2,1,
161,10,4,8,1e-05,0.3,1,
162,10,4,8,1e-05,0.4,1,
